1
size(KB)	time(s)	rate(GB/s)
size(KB)	time(s)	rate(GB/s)
      0.25	2.42	105.96
      0.50	1.21	211.79
      1.00	1.04	245.25
      2.00	0.96	266.06
      4.00	0.92	278.09
      8.00	1.01	252.56
     16.00	0.95	269.58
     32.00	3.91	 65.44
     64.00	4.08	 62.72
    128.00	5.03	 50.87
    256.00	8.00	 32.01
    512.00	8.07	 31.70
   1024.00	8.08	 31.67
   2048.00	8.07	 31.72
   4096.00	8.07	 31.73
   8192.00	8.25	 31.01
  16384.00	12.35	 20.73
  32768.00	14.36	 17.83
  65536.00	15.99	 16.01
 131072.00	16.37	 15.64
 262144.00	16.80	 15.23



2,
size(KB)	time(s)	rate(GB/s)
      0.25	3.11	 82.28
      0.50	1.56	164.36
      1.00	1.43	178.85
      2.00	1.34	191.52
      4.00	1.30	196.52
      8.00	1.45	176.89
     16.00	1.36	187.61
     32.00	4.54	 56.41
     64.00	4.72	 54.23
    128.00	5.23	 48.93
    256.00	5.43	 47.14
    512.00	6.12	 41.86
   1024.00	6.27	 40.83
   2048.00	6.32	 40.48
   4096.00	10.51	 24.35
   8192.00	15.83	 16.17
  16384.00	18.63	 13.74
  32768.00	19.76	 12.96
  65536.00	20.22	 12.66
 131072.00	20.44	 12.52
 262144.00	20.60	 12.43

